bankable acteur,moyenne
Jeremy Renner,1512114.0
Paul Rudd,912182.0
Alec Baldwin,683072.0
Sacha Baron Cohen,668612.0
José Garcia,1089910.0
Chris Rock,492374.0
Jean-Paul Rouve,1449393.0
Ben Stiller,639733.0
Michael Youn,928795.0
Rowan Atkinson,1647573.0
Matthew Broderick,363568.0
Whoopi Goldberg,531781.0
Jeremy Irons,727417.0
Jean Reno,1397999.0
Julia Roberts,1115041.0
Hugh Grant,983715.0
Alec Baldwin,683072.0
Pedro Pascal,830352.0
Denzel Washington,568910.0
Kim Basinger,676802.0
Daniel Auteuil,1006810.0
Gérard Depardieu,1310040.0
Thierry Lhermitte,983587.0
Michèle Laroque,892896.0
Jean Rochefort,915380.0
Vin Diesel,1382126.0
Helen Mirren,579047.0
Kurt Russell,993234.0
Charlize Theron,654280.0
Leonardo DiCaprio,2167821.0
Marion Cotillard,1384256.0
Michael Caine,620222.0
Joseph Gordon-Levitt,835723.0
Tom Hardy,1110186.0
Cillian Murphy,1146354.0
Ellen Page,1086331.0
,
Cécile De France,644071.0
Idris Elba,1031062.0
Scarlett Johansson,1254402.0
Bill Murray,647588.0
Christopher Walken,506535.0
Lambert Wilson,844391.0
Will Smith,1839970.0
Charlize Theron,654280.0
Jason Bateman,524359.0
Jeff Goldblum,984799.0
Bryce Dallas Howard,1928550.0
Chris Pratt,1973562.0
Sam Neill,847100.0
Omar Sy,1789989.0
Tom Hanks,1002550.0
Tim Allen,175467.0
Michael Keaton,695972.0
Benoît Magimel,593227.0
Emma Watson,3449268.0
Luke Evans,1513360.0
Kevin Kline,749101.0
Ewan McGregor,841258.0
Ian McKellen,1843143.0
Emma Thompson,990806.0
Samuel L. Jackson,1248160.0
Jude Law,746466.0
Annette Bening,548003.0
Sean William Scott,678771.0
Casey Affleck,933787.0
Daniel Craig,1176531.0
Eva Green,1335768.0
Mads Mikkelsen,1076825.0
Judi Dench,1242217.0
Kristen Wiig,433762.0
Pierce Brosnan,942816.0
Sophie Marceau,1103195.0
Robert Carlyle,872328.0
Judi Dench,1242217.0
Denise Richards,1071110.0
,
Jim Carrey,1069923.0
Idris Elba,1031062.0
Keanu Reeves,878836.0
Christian Bale,690751.0
Heath Ledger,695948.0
Michael Caine,620222.0
Aaron Eckhart,612496.0
Morgan Freeman,1025955.0
Maggie Gyllenhaal,446486.0
Gary Oldman,1667324.0
Cillian Murphy,1146354.0
Liam Neeson,806132.0
Famke Janssen,1127067.0
Angelina Jolie,970914.0
Daniel Craig,1176531.0
Jon Voight,1023670.0
François Cluzet,936250.0
Marion Cotillard,1384256.0
Gilles Lellouche,898194.0
Laurent Lafitte,1030427.0
Benoît Magimel,593227.0
Valérie Bonneton,839651.0
Jean Dujardin,1376846.0
José Garcia,1089910.0
Tom Cruise,1742496.0
Simon Pegg,842401.0
Jeremy Renner,1512114.0
Alec Baldwin,683072.0
Jamie Foxx,956348.0
Andrew Garfield,1197757.0
Emma Stone,765010.0
Sally Field,839469.0
Paul Giamatti,537639.0
Jennifer Lawrence,1148487.0
Woody Harrelson,856816.0
Philip Seymour Hoffman,633872.0
Julianne Moore,577795.0
Mark Wahlberg,662645.0
Omar Sy,1789989.0
,
Vincent Cassel,940708.0
Gérard Lanvin,1086148.0
Jennifer Lopez,317439.0
Simon Pegg,842401.0
- Queen Latifah,315273.0
Sean William Scott,678771.0
Elie Semoun,1189006.0
Brad Pitt,1326866.0
Pierre Niney,1213211.0
Laurent Lafitte,1030427.0
Pierce Brosnan,942816.0
Judi Dench,1242217.0
Gerard Butler,497458.0
Robert Downey Jr,1143031.0
Don Cheadle,1447575.0
Mickey Rourke,486286.0
Samuel L. Jackson,1248160.0
Scarlett Johansson,1254402.0
Gwyneth Paltrow,1178753.0
Sam Rockwell,408805.0
Liam Neeson,806132.0
Forest Whitaker,681539.0
Famke Janssen,1127067.0
Bruce Willis,1133115.0
Ben Affleck,764532.0
Liv Tyler,1352661.0
Billy Bob Thornton,402003.0
Owen Wilson,683014.0
Steve Buscemi,379073.0
Charlton Heston,1739324.0
Ben Affleck,764532.0
Henry Cavill,1079663.0
Amy Adams,756591.0
Jesse Eisenberg,792156.0
Laurence Fishburne,1027293.0
Gal Gadot,1494217.0
Holly Hunter,504425.0
Jeremy Irons,727417.0
Diane Lane,580745.0
Jason Momoa,1485698.0
Kevin Costner,1006499.0
Anthony Hopkins,885304.0
Julianne Moore,577795.0
Ray Liotta,296794.0
Gary Oldman,1667324.0
Kev Adams,1422375.0
Didier Bourdon,1125223.0
Michael Fassbender,816691.0
Hugh Jackman,1204170.0
Jennifer Lawrence,1148487.0
James McAvoy,1168856.0
Halle Berry,970738.0
Ian McKellen,1843143.0
Ellen Page,1086331.0
Omar Sy,1789989.0
Famke Janssen,1127067.0
Josh Brolin,980209.0
Ryan Reynolds,855619.0
Hugh Jackman,1204170.0
James McAvoy,1168856.0
Brad Pitt,1326866.0
Mathieu Kassovitz,1128188.0
Audrey Tautou,1284086.0
Jamel Debbouze,2206938.0
Yolande Moreau,869413.0
Russell Crowe,745619.0
Cate Blanchett,1298132.0
Léa Seydoux,875598.0
Luke Evans,1513360.0
Johnny Depp,1284078.0
Orlando Bloom,2423195.0
Geoffrey Rush,1255056.0
Keira Knightley,1170296.0
Ashley Judd,424981.0
Naomi Watts,473915.0
Kate Winslet,1529444.0
Hugh Jackman,1204170.0
Ryan Reynolds,855619.0
Chris Evans,1737423.0
Jennifer Garner,867874.0
Wesley Snipes,543111.0
Channing Tatum,602867.0
Henry Cavill,1079663.0
Matthew McConaughey,559265.0
Scarlett Johansson,1254402.0
Gérard Lanvin,1086148.0
Matthew McConaughey,559265.0
Reese Witherspoon,232971.0
Romain Duris,659140.0
Vanessa Paradis,590660.0
François Damiens,909443.0
Philippe Lacheau,2058071.0
Vin Diesel,1382126.0
Paul Walker,935181.0
Dwayne Johnson,1246888.0
Gal Gadot,1494217.0
Eva Mendes,565343.0
George Clooney,965655.0
Matt Damon,1033919.0
Brad Pitt,1326866.0
Casey Affleck,933787.0
Vincent Cassel,940708.0
Don Cheadle,1447575.0
Andy Garcia,632133.0
Julia Roberts,1115041.0
Catherine Zeta Jones,977380.0
Bruce Willis,1133115.0
Paul Dano,597291.0
Colin Farrell,647831.0
Robert Pattinson,1913382.0
Julie Depardieu,521295.0
Jean-Paul Rouve,1449393.0
Benoît Poelvoorde,839930.0
Thierry Lhermitte,983587.0
Jacques Villeret,1030615.0
Catherine Frot,769713.0
Henry Cavill,1079663.0
Tom Cruise,1742496.0
Alec Baldwin,683072.0
Angela Basset,945005.0
Simon Pegg,842401.0
Franck Dubosc,1206610.0
Gérard Depardieu,1310040.0
François-Xavier Demaison,819033.0
Daniel Auteuil,1006810.0
Dany Boon,2401746.0
Gad Elmaleh,1513226.0
Richard Berry,667689.0
Kristin Scott Thomas,744904.0
Virginie Ledoyen,537066.0
Chris Hemsworth,1725937.0
Natalie Portman,1348049.0
Idris Elba,1031062.0
Anthony Hopkins,885304.0
Rene Russo,1330754.0
Mads Mikkelsen,1076825.0
Angelina Jolie,970914.0
Brad Pitt,1326866.0
Vince Vaughn,524166.0
Mel Gibson,1222652.0
Danny Glover,930218.0
Joe Pesci,1386573.0
Jet Li,863290.0
Chris Rock,492374.0
Rene Russo,1330754.0
- Artus,994293.0
Clovis Cornillac,812238.0
Christian Clavier,1940185.0
Jean Reno,1397999.0
Franck Dubosc,1206610.0
Sylvie Testud,453379.0
Karin Viard,684402.0
Lorant Deutsch,583503.0
