Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
sortilège,93 524,161 328,,Etats-Unis,Fantasy,06/07/2011,Tous publics,Metropolitan,10 157,10 210,0,2,9,,
alpha,93 087,170 482,Albert Hughes,Etats-Unis,Aventure - Action,22/08/2018,Tous publics,Sony Pictures,9 996,10 048,0,3,11,,
a l'épreuve du feu,93 112,171 562,Edward Zwick,Etats-Unis,Drame,08/01/1997,Tous publics,UFD,9 968,10 020,0,2,10,"Denzel Washington, Meg Ryan",Matt Damon
l'année juliette,93 190,562 816,,France,Comédie,22/03/1995,Tous publics,MKL,6 142,6 184,0,6,7,Fabrice Luchini,
the crazies (2010),93 876,167 533,,Etats-Unis,Horreur,09/06/2010,Moins de 12 ans,SND,10 047,10 100,0,3,7,,
vermines,93 896,268 940,,France,Horreur,27/12/2023,Moins de 12 ans,-,8 573,8 619,0,4,12,,
haute tension,93 308,110 544,Alexandre Aja,France,Thriller,18/06/2003,Moins de 16 ans,EuropaCorp,11 345,11 403,0,1,14,Cécile De France,
american girls,93 401,259 118,,Etats-Unis,Comédie,02/05/2001,Tous publics,Metropolitan,8 699,8 745,0,6,8,Kirsten Dunst,
les elfkins : opération pâtisserie,68 039,185 191,,Allemagne,Animation,08/12/2021,Tous publics,KMBO,9 727,9 779,0,3,9,,
"love, simon",93 548,135 517,,Etats-Unis,Comédie dramatique,27/06/2018,Tous publics,20th Century Fox,10 729,10 785,0,2,8,Jennifer Garner,
gomes vs tavares,93 549,177 288,Gilles Paquet-Brenner,France,Comédie,13/06/2007,Tous publics,SND,9 868,9 921,0,2,6,,
rien que pour vos cheveux,93 875,211 568,Dennis Dugan,Etats-Unis,Comédie,27/08/2008,Tous publics,Sony Pictures,9 307,9 356,0,3,10,Adam Sandler,
franklin et le trésor du lac,67 968,445 451,,France,Animation,20/12/2006,Tous publics,Mars Distribution,6 995,7 037,0,1,13,,
un héros,67 965,200 761,,Iran,Thriller,15/12/2021,Tous publics,Memento Films,9 476,9 527,0,4,13,,
que dios nos perdone,67 682,199 991,,Espagne,Thriller,09/08/2017,Moins de 12 ans,Le Pacte,9 506,9 557,0,3,14,,
k.o.,93 920,168 471,,France,Thriller,21/06/2017,Tous publics,Wild Bunch,10 032,10 085,0,2,11,"Laurent Lafitte, Pio Marmaï",
sans issue (2012),94 055,146 542,,Etats-Unis,Thriller,02/05/2012,Tous publics,SND,10 464,10 518,0,3,9,Henry Cavill,"Sigourney Weaver, Bruce Willis, Roschdy Zem"
vive la république!,93 947,145 607,Eric Rochant,France,Comédie,05/11/1997,Tous publics,Lazennec,10 485,10 539,0,1,8,Gad Elmaleh,"Roschdy Zem, Mathilde Seigner"
free state of jones,68 009,107 122,,Etats-Unis,Aventure - Action,14/09/2016,Tous publics,Metropolitan,11 440,11 498,0,1,12,Matthew McConaughey,
à la belle étoile,67 974,105 259,,France,Comédie dramatique,22/02/2023,Tous publics,Bac Films,11 497,11 555,0,2,13,,Pascal Legitimus
adults in the room,67 389,142 118,Costa-Gavras,France,Drame,06/11/2019,Tous publics,Wild Bunch,10 559,10 613,0,2,16,,
cashback,67 614,120 774,,Grande-Bretagne,Comédie dramatique,17/01/2007,Tous publics,Gaumont Sony,11 070,11 128,0,2,11,,
end of watch,67 342,103 998,,Etats-Unis,Thriller,14/11/2012,Moins de 12 ans,Metropolitan,11 540,11 598,0,1,11,Jake Gyllenhaal,
les milles,67 944,188 103,,France,Drame,23/08/1995,Tous publics,Ciby Distribution,9 692,9 744,0,2,9,,"François Berléand, Philippe Noiret, Kristin Scott Thomas"
the good german,67 323,106 359,Steven Soderbergh,Etats-Unis,Guerre,14/02/2007,Tous publics,Warner Bros.,11 466,11 524,0,1,13,"Cate Blanchett, George Clooney, Tobey Maguire",
julie (en 12 chapitres),67 515,221 136,,Norvège,Comédie dramatique,13/10/2021,Tous publics,Memento Films,9 182,9 228,0,2,7,,
je suis un assassin,67 309,129 012,,France,Drame,11/08/2004,Tous publics,Mars Distribution,10 865,10 921,0,1,15,"François Cluzet, Bernard Giraudeau, Karin Viard",
d'après une histoire vraie,67 631,110 940,Roman Polanski,France,Thriller,01/11/2017,Tous publics,Mars Distribution,11 331,11 389,0,1,15,"Eva Green, Vincent Perez, Emmanuelle Seigner",
david et madame hansen,67 278,99 715,,France,Comédie dramatique,29/08/2012,Tous publics,Pathé,11 733,11 792,0,2,13,Isabelle Adjani,
"moi, député",67 259,86 013,Jay Roach,Etats-Unis,Comédie,29/08/2012,Tous publics,Warner Bros.,12 120,12 182,0,1,14,"Will Ferrell, Zach Galifianakis",Dan Aykroyd
augustine,67 617,170 115,,France,Drame,07/11/2012,Tous publics,ARP Selection,10 002,10 054,0,2,17,Vincent Lindon,
favelas,67 254,124 244,Stephen Daldry,Grande-Bretagne,Comédie dramatique,12/11/2014,Tous publics,Universal,10 974,11 031,0,2,12,Rooney Mara,
villa caprice,67 576,125 407,,France,Thriller,02/06/2021,Tous publics,Bac Films,10 944,11 001,0,3,9,"Niels Arestrup, Patrick Bruel",
entourage,24 573,37 663,,Etats-Unis,Comédie,24/06/2015,Tous publics,Warner Bros.,14 247,14 322,0,1,16,,Billy Bob Thornton
la belle et la meute,24 058,49 377,,Tunisie,Thriller,18/10/2017,Tous publics,Jour2Fête,13 659,13 732,0,0,-,,
"winx club, l'aventure magique 3d",24 036,56 515,,Italie,Animation,06/04/2011,Tous publics,Rezo Films,13 299,13 369,0,1,19,,
blindés,67 488,103 727,,Etats-Unis,Thriller,13/01/2010,Tous publics,Sony Pictures,11 553,11 611,0,2,11,Matt Dillon,"Laurence Fishburne, Jean Reno"
les grandes ondes,24 017,74 677,,Suisse,Comédie,12/02/2014,Tous publics,Happiness Distribution,12 523,12 590,0,0,-,,
le système victoria,24 011,32 734,,France,Drame,05/03/2025,Tous publics,The Jokers / Les Bookmakers,14 565,14 644,0,1,18,,
dancing pina,24 009,90 215,,Allemagne,Documentaire,12/04/2023,Tous publics,Sophie Dulac,12 000,12 061,0,0,-,,
