title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
L'Aventure des Marguerite,https://fr.web.img5.acsta.net/c_310_420/pictures/20/06/10/17/12/3340450.jpg,14 juillet 2020,en salle,"Comédie,Famille",Tout public,"Marguerite et Margot ont toutes les deux douze ans, avec chacune sa famille, ses copains, ses problèmes... Et son époque. Car l’une vit en 1942 et l’autre en 2018. Mais c’est sans compter sur une mystérieuse malle magique qui les transporte chacune dans l’époque de l’autre. Margot et Marguerite ont un autre point commun : leur père n’est plus là, disparu en pleine 2ème Guerre Mondiale ou n’habitant plus à la maison. À 70 ans d’écart, elles se lancent dans une grande aventure pour retrouver leurs présents, explorant l’Histoire, mais aussi la mémoire de leurs familles.",Pierre Coré,"Stéphane Kazandjian,Pierre Coré","Lila Gueneau,Alice Pol,Clovis Cornillac","3,1","2,8",France,Pathé / Orange Studio,1 nomination,2018,Long métrage,Français,230 637 entrées
"Into the Woods, Promenons-nous dans les bois",https://fr.web.img6.acsta.net/c_310_420/pictures/14/11/27/09/59/465226.jpg,28 janvier 2015,en salle,"Aventure,Fantastique,Comédie musicale",Tout public,"Les intrigues de plusieurs contes de fées bien connues se croisent afin d’explorer les désirs, les rêves et les quêtes de tous les personnages. Cendrillon, le Petit Chaperon rouge, Jack et le haricot magique et Raiponce, tous sont réunis dans un récit où interviennent également un boulanger et sa femme qui espèrent fonder une famille, mais à qui une sorcière a jeté un mauvais sort…",Rob Marshall,James Lapine,"Meryl Streep,James Corden,Emily Blunt","2,9","2,3",U.S.A.,The Walt Disney Company France,9 nominations,2014,Long métrage,Anglais,204 614 entrées
"Il était une fois, une fois",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/86/89/63/19998020.jpg,15 février 2012,en salle,Comédie,Tout public,"Willy Vanderbrook, brillant Franco-belge devenu citoyen du monde, est sollicité pour un poste de concierge dans un grand palace parisien. Il est accueilli par un ami d’enfance, Serge Luyperts, limonadier désabusé qui héberge son ex-beau frère, Frank Vrut, indépendantiste Wallon gentiment psychopathe. La candidature de Willy - recalé pour délit de belgitude - va le contraindre, lui et ses compatriotes, à une imposture absurde et ""royalement"" revancharde...,En se faisant passer pour l’héritier de la couronne belge, Willy et sa bande déclenchent une série de joyeux débordements dans le cinq étoiles qui attire rapidement l’attention de Jessica, une intrigante professionnelle. Mais, pensant séduire le futur ""roi des belges"", elle va se frotter à plus fort qu’elle.,Ce détonateur burlesque entraîne alors le trio ""made in plat pays"" dans une escroquerie aussi conséquente qu'hasardeuse.",Christian Merret-Palmair,"Matthieu Delaporte,Alexandre De La Patellière","François-Xavier Demaison,Anne Marivin,Charlie Dupont","2,0","1,9",France,UGC Distribution,1 nomination,2011,Long métrage,Français,137 573 entrées
La Révolution silencieuse,https://fr.web.img4.acsta.net/c_310_420/pictures/18/03/26/11/25/3230364.jpg,2 mai 2018,en salle,Drame,Tout public,"Allemagne de l'est, 1956. Kurt, Theo et Lena ont 18 ans et s'apprêtent à passer le bac. Avec leurs camarades, ils décident de faire une minute de silence en classe, en hommage aux révolutionnaires hongrois durement réprimés par l'armée soviétique. Cette minute de silence devient une affaire d'Etat. Elle fera basculer leurs vies. Face à un gouvernement est-allemand déterminé à identifier et punir les responsables, les 19 élèves de Stalinstadt devront affronter toutes les menaces et rester solidaires.",Lars Kraume,Lars Kraume,"Leonard Scheicher,Tom Gramenz,Lena Klenke","3,3","4,2",Allemagne,Pyramide Distribution,# prix,2018,Long métrage,Allemand,142 504 entrées
La Légende de Kaspar Hauser,https://fr.web.img2.acsta.net/c_310_420/pictures/210/181/21018126_20130708111443528.png,11 septembre 2013,en salle,"Comédie,Drame",Tout public,"Une île rocailleuse baignée de soleil, époque indéfinie, un ailleurs. Un corps s’échoue sur la plage. C'est celui de Kaspar Hauser, le prince héritier mystérieusement volatilisé à l'enfance. Ce corps réanimé qui refait surface semble avoir perdu l'esprit. Son apparition trouble la routine insulaire. Qui est Kaspar Hauser ? Un souverain, un idiot, un imposteur ? Inquiète, la Grande Duchesse de l’île appelle à la rescousse son amant, Pusher, dealer et tueur à gage. Inconscient de la menace qui pèse sur lui, l'étrange garçon apprend la vie auprès du Shérif... un ancien DJ qui voit en lui le nouveau Messie.",Davide Manuli,Davide Manuli,"Vincent Gallo,Silvia Calderoni,Elisa Sednaoui","2,5","2,8",Italie,Les Films à un dollar,1 nomination,2011,Long métrage,"Anglais, Français, Italien",3 090 entrées
Fahim,https://fr.web.img6.acsta.net/c_310_420/pictures/19/09/19/15/15/5900513.jpg,16 octobre 2019,en salle,"Biopic,Comédie,Drame",Tout public,"Forcé de fuir son Bangladesh natal, le jeune Fahim et son père quittent le reste de la famille pour Paris. Dès leur arrivée, ils entament un véritable parcours du combattant pour obtenir l’asile politique, avec la menace d’être expulsés à tout moment. Grâce à son don pour les échecs, Fahim rencontre Sylvain, l’un des meilleurs entraîneurs d’échecs de France. Entre méfiance et attirance, ils vont apprendre à se connaître et se lier d’amitié. Alors que le Championnat de France commence, la menace d’expulsion se fait pressante et Fahim n’a plus qu’une seule chance pour s’en sortir : être Champion de France.",Pierre-François Martin-Laval,"Pierre-François Martin-Laval,Philippe Elno","Assad Ahmed,Gérard Depardieu,Isabelle Nanty","3,4","3,2",France,Wild Bunch Distribution,1 nomination,2019,Long métrage,"Bengali, Français",217 513 entrées
Une année polaire,https://fr.web.img2.acsta.net/c_310_420/pictures/18/05/04/16/01/1879045.jpg,30 mai 2018,en salle,"Aventure,Comédie,Drame",Tout public,"Pour son premier poste d’instituteur, Anders choisit l’aventure et les grands espaces: il part enseigner au Groenland, à Tiniteqilaaq, un hameau inuit de 80 habitants. Dans ce village isolé du reste du monde, la vie est rude, plus rude que ce qu’Anders imaginait. Pour s’intégrer, loin des repères de son Danemark natal, il va devoir apprendre à connaître cette communauté et ses coutumes.",Samuel Collardey,"Samuel Collardey,Catherine Paillé","Anders Hvidegaard,Asser Boassen,Thomasine Jonathansen","3,5","3,7",France,Ad Vitam,# prix,2017,Long métrage,"Danois, Inuktitut",85 819 entrées
La Nuit venue,https://fr.web.img4.acsta.net/c_310_420/pictures/20/06/03/10/55/1114603.jpg,15 juillet 2020,en salle,Drame,Tout public,"Paris 2018. Jin, jeune immigré sans papiers, est un chauffeur de VTC soumis à la mafia chinoise depuis son arrivée en France, il y a cinq ans. Cet ancien DJ, passionné d'électro, est sur le point de solder ""sa dette"" en multipliant les heures de conduite. Une nuit, au sortir d'une boîte, une troublante jeune femme, Naomi, monte à bord de sa berline. Intriguée par Jin et entêtée par sa musique, elle lui propose d'être son chauffeur attitré pour ses virées nocturnes. Au fil de leurs courses dans la ville interlope, une histoire naît entre ces deux noctambules solitaires et pousse Jin à enfreindre les règles du milieu.",Frédéric Farrucci,"Benjamin Charbit,Frédéric Farrucci","Guang Huo,Camélia Jordana,Xun Liang","3,4","3,1",France,Jour2fête,4 prix et 4 nominations,2019,Long métrage,Français,23 063 entrées
L'Ordre et la morale,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/79/42/69/19821550.jpg,16 novembre 2011,en salle,"Action,Drame,Historique",Tout public,"Avril 1988, Île d'Ouvéa, Nouvelle-Calédonie.,30 gendarmes retenus en otage par un groupe d'indépendantistes Kanak.,300 militaires envoyés depuis la France pour rétablir l'ordre.,2 hommes face à face : Philippe Legorjus, capitaine du GIGN et Alphonse Dianou, chef des preneurs d’otages.,À travers des valeurs communes, ils vont tenter de faire triompher le dialogue.,Mais en pleine période d'élection présidentielle, lorsque les enjeux sont politiques, l’ordre n’est pas toujours dicté par la morale...,Une épopée violente et trouble qui marque le retour de Mathieu Kassovitz devant et derrière la caméra.",Mathieu Kassovitz,"Mathieu Kassovitz,Pierre Geller","Mathieu Kassovitz,Iabe Lapacas,Malik Zidi","3,2","3,6",France,UGC Distribution,1 prix et 4 nominations,2011,Long métrage,Français,149 624 entrées
En Solitaire,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/93/41/63/20282436.jpg,6 novembre 2013,en salle,Drame,Tout public,"Yann Kermadec voit son rêve se réaliser quand il remplace au pied levé, son ami Franck Drevil, au départ du Vendée Globe, le tour du monde à la voile en solitaire. Habité par une farouche volonté de gagner, alors qu'il est en pleine course, la découverte à son bord d'un jeune passager va tout remettre en cause.",Christophe Offenstein,"Jean Cottin,Christophe Offenstein","François Cluzet,Samy Seghir,Virginie Efira","3,2","3,5",France,Gaumont Distribution,2 nominations,2013,Long métrage,Français,659 309 entrées
Bébé Tigre,https://fr.web.img3.acsta.net/c_310_420/pictures/14/12/08/12/24/271932.jpg,14 janvier 2015,en salle,Drame,Tout public,"Bébé Tigre, c’est Many, 17 ans. Il vit en France depuis deux ans et mène la vie d’un adolescent comme les autres, partageant son temps entre les cours, ses copains et sa petite amie. Mais les responsabilités que ses parents restés en Inde lui ont confiées vont l’obliger à se mettre en danger…",Cyprien Vial,Cyprien Vial,"Harmandeep Palminder,Vikram Sharma,Elisabeth Lando","3,8","3,4",France,Haut et Court,3 nominations,2014,Long métrage,Français,19 988 entrées
Morning Glory,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/73/92/28/19635401.jpg,6 avril 2011,en salle,"Comédie dramatique,Romance",Tout public,"Bien qu’elle soit jeune, jolie, dynamique et ambitieuse, Becky Fuller est en pleine traversée du désert professionnelle et sentimentale. Aussi, lorsqu’on propose à cette productrice TV de reprendre ""Daybreak"", la matinale la moins regardée du pays, elle accepte le défi sans hésiter. Pour booster l’audience, elle décide d’engager Mike Pomeroy, le journaliste de légende de la chaîne. Mais le charisme de Mike n'a d'égal que ses caprices de star, et ses relations sont électriques avec Colleen Peck, sa co-présentatrice. Les coups bas hors-plateau s’accompagnent très vite de petites phrases assassines à l’antenne…,Dans le même temps, Becky craque pour un producteur de la chaîne, mais sentiments et travail ne font pas toujours bon ménage. Parviendra-t-elle à sortir l’émission de l’impasse et à trouver l’amour ?",Roger Michell,Aline Brosh McKenna,"Rachel McAdams,Harrison Ford,Diane Keaton","3,1","3,1",U.S.A.,Paramount Pictures France,3 nominations,2010,Long métrage,"Anglais, Ukrainien",218 438 entrées
Cogan : Killing Them Softly,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/93/25/14/20319420.jpg,5 décembre 2012,en salle,"Policier,Thriller",Interdit - 12 ans,"Lorsqu’une partie de poker illégale est braquée, c’est tout le monde des bas-fonds de la pègre qui est menacé. Les caïds de la Mafia font appel à Jackie Cogan pour trouver les coupables. Mais entre des commanditaires indécis, des escrocs à la petite semaine, des assassins fatigués et ceux qui ont fomenté le coup, Cogan va avoir du mal à garder le contrôle d’une situation qui dégénère…",Andrew Dominik,Andrew Dominik,"Brad Pitt,Scoot McNairy,James Gandolfini","3,3","2,5",U.S.A.,Metropolitan FilmExport,2 nominations,2012,Long métrage,Anglais,237 451 entrées
21 nuits avec Pattie,https://fr.web.img5.acsta.net/c_310_420/pictures/15/10/14/14/47/058028.jpg,25 novembre 2015,en salle,Comédie,Tout public,"Au cœur de l’été, Caroline, parisienne et mère de famille d’une quarantaine d’années, débarque dans un petit village du sud de la France. Elle doit organiser dans l’urgence les funérailles de sa mère, avocate volage, qu’elle ne voyait plus guère. Elle est accueillie par Pattie qui aime raconter à qui veut bien l’écouter ses aventures amoureuses avec les hommes du coin. Alors que toute la vallée se prépare pour les fameux bals du 15 août, le corps de la défunte disparait mystérieusement.","Arnaud Larrieu,Jean-Marie Larrieu","Jean-Marie Larrieu,Arnaud Larrieu","Isabelle Carré,Karin Viard,André Dussollier","4,1","2,8",France,Pyramide Distribution,3 nominations,2015,Long métrage,Français,338 327 entrées
Potiche,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/78/33/57/19502913.jpg,10 novembre 2010,en salle,Comédie,Tout public,"En 1977, dans une province de la bourgeoisie française, Suzanne Pujol est l’épouse popote et soumise d’un riche industriel Robert Pujol. Il dirige son usine de parapluies d’une main de fer et s’avère aussi désagréable et despote avec ses ouvriers qu’avec ses enfants et sa femme, qu’il prend pour une potiche. À la suite d’une grève et d’une séquestration de son mari, Suzanne se retrouve à la direction de l’usine et se révèle à la surprise générale une femme de tête et d’action. Mais lorsque Robert rentre d’une cure de repos en pleine forme, tout se complique…",François Ozon,François Ozon,"Catherine Deneuve,Gérard Depardieu,Fabrice Luchini","3,9","3,1",France,Mars Films,1 prix et 16 nominations,2010,Long métrage,Français,2 318 221 entrées
Orpheline,https://fr.web.img2.acsta.net/c_310_420/pictures/17/03/02/10/12/219700.jpg,29 mars 2017,en salle,Drame,Tout public,"Portrait d’une femme à quatre âges de sa vie. Petite fille de la campagne, prise dans une tragique partie de cache-cache. Adolescente ballottée de fugue en fugue, d’homme en homme, puisque tout vaut mieux que le triste foyer familial. Jeune provinciale qui monte à Paris et frôle la catastrophe. Femme accomplie enfin, qui se croyait à l’abri de son passé. Quatre actrices différentes incarnent une seule et même héroïne.",Arnaud des Pallières,"Arnaud des Pallières,Christelle Berthevas","Adèle Haenel,Adèle Exarchopoulos,Solène Rigot","3,2","2,7",France,Le Pacte,2 nominations,2016,Long métrage,Français,72 101 entrées
La Danseuse,https://fr.web.img6.acsta.net/c_310_420/pictures/17/12/27/23/48/3510639.jpg,28 septembre 2016,en salle,"Biopic,Drame",Tout public,"Loïe Fuller est née dans le grand ouest américain. Rien ne destine cette fille de ferme à devenir la gloire des cabarets parisiens de la Belle Epoque et encore moins à danser à l’Opéra de Paris. Cachée sous des mètres de soie, les bras prolongés de longues baguettes en bois, Loïe réinvente son corps sur scène et émerveille chaque soir un peu plus. Même si les efforts physiques doivent lui briser le dos, même si la puissance des éclairages doit lui brûler les yeux, elle ne cessera de perfectionner sa danse. Mais sa rencontre avec Isadora Duncan, jeune prodige avide de gloire, va précipiter la chute de cette icône du début du 20ème siècle.",Stéphanie Di Giusto,"Stéphanie Di Giusto,Sarah Thibau"," Soko,Gaspard Ulliel,Mélanie Thierry","3,4","3,7",France,Wild Bunch Distribution,1 prix et 11 nominations,2016,Long métrage,Français,215 413 entrées
The Immigrant,https://fr.web.img5.acsta.net/c_310_420/pictures/210/497/21049757_20131015170623847.jpg,27 novembre 2013,en salle,"Drame,Romance",Tout public,"1921. Ewa et sa sœur Magda quittent leur Pologne natale pour la terre promise, New York. Arrivées à Ellis Island, Magda, atteinte de tuberculose, est placée en quarantaine. Ewa, seule et désemparée, tombe dans les filets de Bruno, un souteneur sans scrupules. Pour sauver sa sœur, elle est prête à tous les sacrifices et se livre, résignée, à la prostitution. L’arrivée d’Orlando, illusionniste et cousin de Bruno, lui redonne confiance et l'espoir de jours meilleurs. Mais c'est sans compter sur la jalousie de Bruno...",James Gray,"James Gray,Ric Menello","Marion Cotillard,Joaquin Phoenix,Jeremy Renner","3,7","3,2",U.S.A.,Wild Bunch Distribution,3 nominations,2013,Long métrage,"Anglais, Latin, Polonais",322 576 entrées
Jackie,https://fr.web.img4.acsta.net/c_310_420/pictures/16/12/15/15/40/086055.jpg,1 février 2017,en salle,"Biopic,Drame",Tout public,"22 Novembre 1963 : John F. Kennedy, 35ème président des États-Unis, vient d’être assassiné à Dallas. Confrontée à la violence de son deuil, sa veuve, Jacqueline Bouvier Kennedy, First Lady admirée pour son élégance et sa culture, tente d’en surmonter le traumatisme, décidée à mettre en lumière l’héritage politique du président et à célébrer l’homme qu’il fut.",Pablo Larraín,Noah Oppenheim,"Natalie Portman,Peter Sarsgaard,Greta Gerwig","4,0","3,0",U.S.A.,Bac Films,3 prix et 8 nominations,2016,Long métrage,Anglais,462 597 entrées
Judy,https://fr.web.img6.acsta.net/c_310_420/pictures/20/02/13/12/07/0571771.jpg,26 février 2020,en salle,"Biopic,Drame",Tout public,"Hiver 1968. La légendaire Judy Garland débarque à Londres pour se produire à guichets fermés au Talk of the Town. Cela fait trente ans déjà qu’elle est devenue une star planétaire grâce au Magicien d’Oz. Judy a débuté son travail d’artiste à l’âge de deux ans, cela fait maintenant plus de quatre décennies qu’elle chante pour gagner sa vie. Elle est épuisée. Alors qu’elle se prépare pour le spectacle, qu’elle se bat avec son agent, charme les musiciens et évoque ses souvenirs entre amis ; sa vivacité et sa générosité séduisent son entourage. Hantée par une enfance sacrifiée pour Hollywood, elle aspire à rentrer chez elle et à consacrer du temps à ses enfants. Aura-t-elle seulement la force d’aller de l’avant ?",Rupert Goold,Tom Edge,"Renée Zellweger,Jessie Buckley,Finn Wittrock","3,4","3,3",Grande-Bretagne,Pathé Films,3 prix et 5 nominations,2019,Long métrage,Anglais,125 266 entrées
Girls Only,https://fr.web.img6.acsta.net/c_310_420/pictures/15/04/20/14/45/032405.jpg,13 mai 2015,en salle,"Comédie,Romance",Tout public,"A l’aube de ses 30 ans, on ne peut pas dire que Megan soit fixée sur son avenir. Avec son groupe d'amies déjà bien installées dans la vie, le décalage se creuse de jour en jour. Et ce n'est pas le comportement des hommes qui va l'apaiser ! Au point qu’elle se réfugie chez Annika, une nouvelle amie... de 16 ans. Fuyant avec joie ses responsabilités, elle préfère partager le quotidien insouciant de l'adolescente et ses copines. Jusqu'à croiser le père d'Annika au petit-déjeuner...",Lynn Shelton,Andrea Seigel,"Keira Knightley,Chloë Grace Moretz,Sam Rockwell","3,2","2,6",U.S.A.,Condor Distribution,1 nomination,2014,Long métrage,Anglais,123 195 entrées
L'Apparition,https://fr.web.img2.acsta.net/c_310_420/pictures/18/01/22/09/46/4416684.jpg,14 février 2018,en salle,Drame,Tout public,"Jacques, grand reporter pour un quotidien français reçoit un jour un mystérieux coup de téléphone du Vatican. Dans une petite ville du sud-est de la France une jeune fille de 18 ans a affirmé avoir eu une apparition de la Vierge Marie. La rumeur s’est vite répandue et le phénomène a pris une telle ampleur que des milliers de pèlerins viennent désormais se recueillir sur le lieu des apparitions présumées. Jacques qui n’a rien à voir avec ce monde-là accepte de faire partie d’une commission d’enquête chargée de faire la lumière sur ces événements.",Xavier Giannoli,Xavier Giannoli,"Vincent Lindon,Galatea Bellugi,Patrick d'Assumçao","3,5","3,3",France,Memento,2 nominations,2017,Long métrage,Français,464 679 entrées
Animal Kingdom,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/73/96/94/19638756.jpg,27 avril 2011,en salle,Drame,Interdit - 12 ans,"Une rue anonyme dans la banlieue de Melbourne. C’est là que vit la famille Cody. Profession : criminels. L’irruption parmi eux de Joshua, un neveu éloigné, offre à la police le moyen de les infiltrer. Il ne reste plus à Joshua qu’à choisir son camp...",David Michôd,David Michôd,"Guy Pearce,James Frecheville,Jacki Weaver","4,0","3,7",Australie,ARP Sélection,3 prix et 6 nominations,2010,Long métrage,Anglais,107 145 entrées
Ami-ami,https://fr.web.img5.acsta.net/c_310_420/pictures/17/11/09/12/27/0499886.jpg,17 janvier 2018,en salle,Comédie,Tout public,"Quoi de mieux pour ne plus jamais souffrir en amour que de tourner le dos à la vie de couple et de s’installer en coloc’ avec son meilleur ami ? C’est en tout cas ce qu’a décidé Vincent, ravagé par sa dernière rupture ! À un détail près : son meilleur ami est une meilleure amie, Néféli, jeune avocate déjantée. À peine installés, les deux potes se jurent de ne plus jamais tomber amoureux, de vivre d’amitié et d’histoires sans lendemain. Mais après quelques semaines de cohabitation complice et festive, Vincent rencontre Julie…",Victor Saint Macary,"Victor Saint Macary,Thomas Cailley","William Lebghil,Margot Bancilhon,Camille Razat","2,8","2,7",France,Le Pacte,1 nomination,2017,Long métrage,Français,156 402 entrées
L'Aube rouge,https://fr.web.img6.acsta.net/c_310_420/pictures/202/078/20207814_20130704120032408.jpg,28 août 2013,en salle,"Action,Guerre",Tout public,"Un matin, les habitants d’une ville américaine se réveillent pour découvrir l’incroyable : des forces armées étrangères sont en train de les envahir. Les États-Unis sont attaqués, des centaines de parachutistes pleuvent du ciel, et ce n’est que le début… Très vite, les citoyens sont faits prisonniers et l’ennemi occupe le secteur.,Un groupe de jeunes parvient à s’enfuir et se cache dans les bois. Ils n’ont pas dit leur dernier mot. Il n’est pas question pour eux de se laisser voler leur liberté et leur pays…",Dan Bradley,"Carl Ellsworth,Jeremy Passmore","Chris Hemsworth,Josh Peck,Adrianne Palicki","1,5","2,5",U.S.A.,Metropolitan FilmExport,1 nomination,2012,Long métrage,"Anglais, Coréen",49 698 entrées
Memory Lane,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/79/85/10/19534657.jpg,24 novembre 2010,en salle,Drame,Tout public,"Août, Hauts de Seine, dans la banlieue Sud-Ouest de Paris, sept amis de 25 ans se retrouvent plus ou moins ""fortuitement"" à passer quelques jours dans cette ville qui les a vus grandir.,Chacun a ses raisons d'être là : certains y vivent encore, d'autres y reviennent pour des raisons familiales, d'autres y cherchent des traces d'une adolescence tenace, d'autres pensent peut-être échapper au désoeuvrement ou y trouver l'amour...,Pendant une semaine, nous les suivons de manière isolée et en groupe. Au détour des rues désertées de cette ville fantôme, alors que les journées filent sous le bleu profond du ciel d'août, chacun porte en lui l'intuition que ces moments partagés sont peut-être les derniers...,",Mikhaël Hers,"Mikhaël Hers,Mariette Désert","Thibault Vinçon,Dounia Sichov,Lolita Chammah","3,0","2,5",France,Ad Vitam,1 nomination,2010,Long métrage,Français,10 144 entrées
17 filles,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/83/97/93/19828366.jpg,14 décembre 2011,en salle,Comédie dramatique,Tout public,"Dans une petite ville au bord de l’océan, dix-sept adolescentes d’un même lycée prennent ensemble une décision inattendue et incompréhensible aux yeux des garçons et des adultes : elles décident de tomber enceintes en même temps. Ce film est inspiré d’un fait divers survenu en 2008.","Muriel Coulin,Delphine Coulin","Muriel Coulin,Delphine Coulin","Louise Grinberg,Juliette Darche,Roxane Duran","3,8","2,7",France,Diaphana Distribution,13 nominations,2011,Long métrage,Français,68 658 entrées
Bon à Tirer (B.A.T.),https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/83/44/50/19691443.jpg,27 avril 2011,en salle,Comédie,Tout public,"Meilleurs amis du monde, Rick et Fred sont tous deux mariés depuis longtemps. Lorsqu’ils commencent à montrer des signes de lassitude à la maison, leurs femmes décident d’une mesure radicale pour mettre du piment dans leur vie conjugale : elles donnent à leurs hommes ""carte blanche"", une semaine de liberté totale où ils pourront faire ce que bon leur semble. Sans aucune question. Au début, cela ressemble à un rêve devenu réalité pour Rick et Fred, mais ils découvrent rapidement, dans des situations hilarantes, que leur idéal de vie célibataire -et eux-mêmes- sont totalement en décalage avec le monde réel.","Bobby Farrelly,Peter Farrelly","Pete Jones,Peter Farrelly","Owen Wilson,Jason Sudeikis,Jenna Fischer","2,9","2,4",U.S.A.,Warner Bros. France,# prix,2011,Long métrage,Anglais,381 459 entrées
Apnée,https://fr.web.img2.acsta.net/c_310_420/pictures/16/09/20/15/24/347196.jpg,19 octobre 2016,en salle,Comédie,Tout public,"Céline, Thomas et Maxence marchent toujours par trois. Comme la trilogie de la devise républicaine. Ils veulent se marier, une maison, un travail, des enfants sages et manger tous les jours des huîtres. Insoumis et inadaptés à une furieuse réalité économique et administrative, ils chevauchent leurs quads de feu et traversent une France accablée, en quête de nouveaux repères, de déserts jonchés de bipèdes et d’instants de bonheur éphémère.",Jean-Christophe Meurisse,Jean-Christophe Meurisse,"Céline Fuhrer,Thomas Scimeca,Maxence Tual","3,3","2,9",France,Shellac,1 prix et 2 nominations,2016,Long métrage,Français,33 257 entrées
Roulez jeunesse,https://fr.web.img3.acsta.net/c_310_420/pictures/18/07/05/09/40/1830672.jpg,25 juillet 2018,en salle,Comédie,Tout public,"Alex, 43 ans, est dépanneur automobile dans le garage que dirige d'une main de fer sa mère. Un jour, il dépanne une jeune femme et passe la nuit chez elle, mais au petit matin elle a disparu lui laissant sur les bras trois enfants.",Julien Guetta,"Dominique Baumard,Julien Guetta","Eric Judor,Laure Calamy,Brigitte Roüan","3,3","3,2",France,Le Pacte,1 nomination,2017,Long métrage,Français,145 329 entrées
La Terre des hommes,https://fr.web.img6.acsta.net/c_310_420/pictures/21/04/29/11/59/2559885.jpg,25 août 2021,en salle,Drame,Tout public,"Constance est fille d’agriculteur. Avec son fiancé, elle veut reprendre l’exploitation de son père et la sauver de la faillite. Pour cela, il faut s’agrandir, investir et s’imposer face aux grands exploitants qui se partagent la terre et le pouvoir. Battante, Constance obtient le soutien de l’un d’eux. Influent et charismatique, il tient leur avenir entre ses mains. Mais quand il impose son désir au milieu des négociations, Constance doit faire face à cette nouvelle violence.",Naël Marandin,Naël Marandin,"Diane Rouxel,Finnegan Oldfield,Jalil Lespert","3,6","3,5",France,Ad Vitam,2 nominations,2019,Long métrage,Français,75 502 entrées
Free State Of Jones,https://fr.web.img6.acsta.net/c_310_420/pictures/16/08/12/10/07/279399.jpg,14 septembre 2016,en salle,"Drame,Guerre",Tout public,"En pleine guerre de Sécession, Newton Knight, courageux fermier du Mississippi, prend la tête d’un groupe de modestes paysans blancs et d'esclaves en fuite pour se battre contre les États confédérés. Formant un régiment de rebelles indomptables, Knight et ses hommes ont l'avantage stratégique de connaître le terrain, même si leurs ennemis sont bien plus nombreux et beaucoup mieux armés… Résolument engagé contre l'injustice et l'exploitation humaine, l'intrépide fermier fonde le premier État d'hommes libres où Noirs et Blancs sont à égalité.",Gary Ross,Gary Ross,"Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali","2,8","3,7",U.S.A.,Metropolitan FilmExport,1 nomination,2016,Long métrage,Anglais,107 122 entrées
L'Homme irrationnel,https://fr.web.img2.acsta.net/c_310_420/pictures/15/09/03/15/38/066511.jpg,14 octobre 2015,en salle,"Drame,Romance,Thriller",Tout public,"Professeur de philosophie, Abe Lucas est un homme dévasté sur le plan affectif, qui a perdu toute joie de vivre. Il a le sentiment que quoi qu’il ait entrepris - militantisme politique ou enseignement - n’a servi à rien.Peu de temps après son arrivée dans l’université d’une petite ville, Abe entame deux liaisons. D’abord, avec Rita Richards, collègue en manque de compagnie qui compte sur lui pour lui faire oublier son mariage désastreux. Ensuite, avec Jill Pollard, sa meilleure étudiante, qui devient aussi sa meilleure amie. Si Jill est amoureuse de son petit copain Roy, elle trouve irrésistibles le tempérament torturé et fantasque d’Abe, comme son passé exotique. Et tandis que les troubles psychologiques de ce dernier s’intensifient, Jill est de plus en plus fascinée par lui. Mais quand elle commence à lui témoigner ses sentiments, il la rejette. C’est alors que le hasard le plus total bouscule le destin de nos personnages dès lors qu’Abe et Jill surprennent la conversation d’un étranger et s’y intéressent tout particulièrement. Après avoir pris une décision cruciale, Abe est de nouveau à même de jouir pleinement de la vie. Mais ce choix déclenche une série d’événements qui le marqueront, lui, Jill et Rita à tout jamais.",Woody Allen,Woody Allen,"Joaquin Phoenix,Emma Stone,Parker Posey","3,7","3,6",U.S.A.,Mars Films,1 nomination,2015,Long métrage,Anglais,942 780 entrées
Les Cowboys,https://fr.web.img4.acsta.net/c_310_420/pictures/15/09/25/12/03/168634.jpg,25 novembre 2015,en salle,Drame,Tout public,"Une grande prairie, un rassemblement country western quelque part dans l’est de la France. Alain est l’un des piliers de cette communauté. Il danse avec Kelly, sa fille de 16 ans sous l’oeil attendri de sa femme et de leur jeune fils Kid. Mais ce jour là Kelly disparaît. La vie de la famille s’effondre. Alain n’aura alors de cesse que de chercher sa fille, au prix de l’amour des siens et de tout ce qu’il possédait. Le voilà projeté dans le fracas du monde. Un monde en plein bouleversement où son seul soutien sera désormais Kid, son fils, qui lui a sacrifié sa jeunesse, et qu’il traîne avec lui dans cette quête sans fin.",Thomas Bidegain,"Thomas Bidegain,Noé Debré","François Damiens,Finnegan Oldfield,Agathe Dronne","3,5","3,6",France,Pathé Films,1 prix et 8 nominations,2015,Long métrage,"Anglais, Français",208 023 entrées
