Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
les blagues de toto,205528,1062763,,France,Comédie,2020-08-05,Tous publics,SND,,,3,12,1,,Ramzy Bedia
espion(s),205586,456239,,France,Thriller,2009-01-28,Tous publics,Mars Distribution,,,0,4,6,Guillaume Canet,
les francis,205642,394234,,France,Comédie,2014-07-23,Tous publics,Mars Distribution,,,0,3,7,,Elie Semoun
monique,206031,449591,,France,Comédie,2002-08-21,Tous publics,Pan-Européenne,,,0,3,5,Albert Dupontel,
sexy dance 2,206184,473875,Jon M. Chu,Etats-Unis,Musical,2008-04-09,Tous publics,Paramount,,,0,2,6,,
madame web,207894,439679,,Etats-Unis,Comicbook,2024-02-14,Tous publics,Sony Pictures,,,0,3,5,,
beur sur la ville,206238,412351,,France,Comédie,2011-10-12,Tous publics,Paramount,,,0,3,6,,"Josiane Balasko, François-Xavier Demaison, Gérard Jugnot, Sandrine Kiberlain"
la petite,206646,449871,Guillaume Nicloux,France,Drame,2023-09-20,Tous publics,SND,,,0,4,2,Fabrice Luchini,
"félins, le royaume du courage",206683,773044,,Etats-Unis,Documentaire,2012-02-01,Tous publics,Walt Disney Pictures,,,0,5,3,,
la demoiselle d'honneur,206729,393841,Claude Chabrol,France,Drame,2004-11-17,Tous publics,Bac Films,,,0,3,4,Benoît Magimel,
le talentueux mr. ripley,207595,516120,Anthony Minghella,Etats-Unis,Drame,2000-03-08,Tous publics,Bac Films,,,0,4,3,"Matt Damon, Gwyneth Paltrow, Jude Law","Cate Blanchett, Philip Seymour Hoffman"
la grande aventure lego 2,207748,501024,,Etats-Unis,Animation,2019-02-20,Tous publics,Warner Bros.,,,0,4,9,,
la proie du diable,209337,404408,,Etats-Unis,Horreur,2022-10-26,Moins de 12 ans,Metropolitan,,,0,4,8,,
jamais sans mon psy,208032,718056,,France,Comédie,2024-12-11,Tous publics,UGC Distribution,,,0,5,3,Christian Clavier,
associés contre le crime,208173,454880,Pascal Thomas,France,Comédie,2012-08-22,Tous publics,Studiocanal,,,0,3,5,"André Dussollier, Catherine Frot",
sexy boys,209499,453556,,France,Comédie,2001-12-26,Tous publics,Pathé,,,0,4,8,,
slumdog millionaire,208398,2700935,Danny Boyle,Grande-Bretagne,Comédie dramatique,2009-01-14,Tous publics,Pathé,,,0,15,4,Dev Patel,
the secret,208628,570952,,Etats-Unis,Thriller,2012-09-05,Moins de 12 ans,SND,,,0,5,2,Jessica Biel,
planète rouge,208683,385508,,Etats-Unis,Science Fiction,2000-11-29,Tous publics,Warner Bros.,,,0,3,3,"Carrie-Anne Moss, Val Kilmer",
bandidas,208706,412527,,France,Aventure - Action,2006-01-18,Tous publics,EuropaCorp,,,0,2,5,"Penelope Cruz, Salma Hayek",
prêt à tout,208722,412765,,France,Comédie,2014-01-22,Tous publics,Studiocanal,,,0,3,5,,Patrick Timsit
jusqu'en enfer,209248,513513,Sam Raimi,Etats-Unis,Horreur,2009-05-27,Moins de 12 ans,Metropolitan,,,0,4,3,Alison Lohman,
street dance 3d,209396,660190,,Grande-Bretagne,Musical,2010-05-19,Tous publics,Metropolitan,,,0,7,2,Charlotte Rampling,
la face cachée de margo,210483,530070,,Etats-Unis,Romance,2015-08-12,Tous publics,20th Century Fox,,,0,5,6,,
hopper et le hamster des ténèbres,211019,488676,,Belgique,Animation,2022-02-16,Tous publics,Sony Pictures,,,0,5,7,,
hors de controle,209517,330301,Martin Campbell,Etats-Unis,Thriller,2010-02-17,Tous publics,Metropolitan,,,0,2,9,Mel Gibson,
daaaaaali !,209546,482718,Quentin Dupieux,France,Comédie dramatique,2024-02-07,Tous publics,Diaphana,,,0,4,3,"Edouard Baer, Jonathan Cohen, Gilles Lellouche","Romain Duris, Pio Marmaï"
freddy contre jason,211082,343349,,Etats-Unis,Horreur,2003-10-29,Moins de 16 ans,Metropolitan,,,0,3,6,,
jumeaux mais pas trop,210444,434896,,France,Comédie,2022-09-28,Tous publics,SND,,,0,4,3,Ahmed Sylla,Gérard Jugnot
#le roi lion 3d,,582856,Rob Minkoff,Etats-Unis,Animation,2012-04-11,Tous publics,Walt Disney Pictures,,,0,4,8,,
neverland,211042,500734,Marc Foster,Etats-Unis,Drame,2005-02-23,Tous publics,TFM Distribution,,,0,4,5,"Johnny Depp, Kate Winslet",Dustin Hoffman
anora,212504,644625,,Etats-Unis,Comédie dramatique,2024-10-30,Moins de 12 ans,Le Pacte,,,0,6,6,,
tamara vol.2,211737,428305,,France,Comédie,2018-07-04,Tous publics,UGC Distribution,,,0,4,4,,Sylvie Testud
histoires enchantées,211885,388525,,Etats-Unis,Film familial,2008-12-24,Tous publics,Pathé,,,0,3,6,Adam Sandler,"Courteney Cox, Guy Pearce"
dis-moi juste que tu m'aimes,211957,434083,,France,Drame,2025-02-19,Tous publics,SND,,,0,4,6,"Elodie Bouchez, José Garcia, Vanessa Paradis, Omar Sy",
permis de construire,211995,562816,,France,Comédie,2022-03-09,Tous publics,Warner Bros.,,,0,4,4,Didier Bourdon,
